Region	Sex	Age	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0 The whole country	Females	73	19363	19203	19279	19407	19531	20356	20191	18943	22686	21186	20716	20339	19594	18461	18546	17513	17538	16899	17098	16773	16647	15420	15364	15490	15904	16416	17172	17666	18055	17437	19799	21204	23711	24811	27605
0 The whole country	Females	74	18340	18841	18686	18728	18884	19016	19840	19682	18461	22166	20667	20242	19865	19199	18081	18145	17178	17195	16561	16815	16462	16330	15126	15116	15233	15606	16135	16876	17366	17794	17164	19504	20847	23392	24399
0 The whole country	Females	75	17467	17824	18231	18111	18183	18297	18495	19266	19141	17958	21539	20187	19736	19376	18711	17648	17679	16740	16803	16190	16448	16104	15963	14801	14831	14923	15331	15801	16541	17089	17480	16872	19136	20493	22981
0 The whole country	Females	76	17089	16897	17239	17610	17505	17580	17718	17933	18648	18518	17422	20908	19599	19182	18856	18207	17196	17205	16278	16398	15794	16051	15727	15624	14449	14482	14615	15005	15466	16183	16750	17153	16526	18780	20104
0 The whole country	Females	77	15634	16470	16267	16613	16968	16845	16921	17075	17279	18048	17890	16838	20271	18976	18580	18278	17651	16712	16699	15798	15952	15369	15618	15317	15264	14107	14102	14274	14643	15126	15809	16392	16762	16169	18353
0 The whole country	Females	78	14817	14927	15723	15584	15875	16173	16150	16229	16361	16683	17392	17239	16190	19495	18299	17944	17662	17038	16159	16152	15340	15494	14901	15145	14895	14857	13716	13715	13889	14256	14740	15368	15993	16341	15780
0 The whole country	Females	79	13843	14133	14209	14971	14857	15117	15425	15431	15470	15685	15990	16687	16520	15478	18709	17601	17244	16911	16416	15620	15575	14795	14984	14394	14679	14401	14410	13273	13269	13492	13827	14292	14953	15536	15915
0 The whole country	Females	80	12737	13062	13354	13464	14208	14034	14298	14668	14569	14698	14906	15297	15896	15748	14774	17877	16789	16540	16192	15769	14999	14995	14208	14448	13832	14147	13861	13890	12826	12839	13017	13359	13811	14462	15010
0 The whole country	Females	81	11934	11992	12247	12493	12667	13367	13253	13465	13780	13784	13930	14071	14485	15033	14855	13988	16977	15956	15749	15404	15100	14341	14366	13560	13814	13233	13566	13324	13311	12321	12336	12528	12862	13307	13950
0 The whole country	Females	82	10864	11111	11169	11415	11710	11782	12420	12378	12585	12929	12921	13073	13189	13651	14112	13966	13187	16011	15114	14958	14633	14309	13580	13678	12928	13194	12632	12919	12711	12748	11776	11797	11986	12339	12765
0 The whole country	Females	83	9822	10039	10247	10291	10523	10810	10866	11507	11419	11680	12060	12034	12185	12290	12739	13228	13006	12329	15024	14226	14134	13737	13471	12790	12895	12211	12486	11893	12283	12074	12083	11201	11278	11351	11770
0 The whole country	Females	84	8703	8951	9171	9350	9380	9578	9959	10009	10561	10531	10750	11133	11052	11289	11350	11736	12293	11995	11493	14000	13383	13192	12825	12577	11955	12094	11496	11729	11254	11561	11411	11381	10600	10651	10698
0 The whole country	Females	85	7666	7916	8091	8252	8437	8436	8664	9022	9044	9593	9575	9843	10146	10070	10273	10430	10706	11249	11048	10584	12977	12342	12183	11872	11659	11142	11280	10696	10887	10483	10834	10739	10642	9974	10004
0 The whole country	Females	86	6457	6819	7081	7148	7357	7512	7600	7768	8035	8144	8598	8618	8860	9160	9137	9224	9408	9642	10207	10124	9626	11876	11284	11197	10863	10729	10207	10393	9829	10059	9737	10076	9969	9908	9301
0 The whole country	Females	87	5548	5680	6006	6244	6257	6484	6616	6709	6832	7101	7223	7672	7645	7899	8105	8103	8238	8368	8603	9177	9158	8701	10744	10196	10162	9899	9759	9243	9478	9017	9194	8861	9202	9172	9106
0 The whole country	Females	88	4569	4843	4896	5189	5421	5438	5626	5737	5758	5961	6141	6284	6702	6646	6903	7097	7117	7221	7358	7622	8187	8170	7752	9590	9086	9087	8888	8763	8306	8580	8147	8330	8066	8379	8328
0 The whole country	Females	89	3733	3873	4138	4116	4384	4577	4658	4803	4863	4933	5055	5305	5399	5788	5741	5917	6175	6124	6262	6410	6647	7134	7135	6886	8430	8025	8025	7864	7789	7396	7630	7266	7379	7179	7537
0 The whole country	Females	90	2893	3136	3236	3453	3396	3640	3819	3859	3959	4090	4135	4249	4468	4563	4842	4830	5015	5226	5156	5345	5537	5663	6116	6175	5983	7293	6983	6879	6802	6821	6464	6657	6327	6388	6336
0 The whole country	Females	91	2318	2359	2564	2638	2832	2799	2972	3166	3182	3257	3358	3406	3461	3691	3764	4000	3983	4139	4379	4308	4481	4677	4774	5161	5268	5089	6115	5973	5905	5777	5782	5555	5704	5449	5499
0 The whole country	Females	92	1781	1874	1924	2064	2118	2269	2239	2390	2490	2603	2649	2726	2781	2802	2950	3054	3194	3227	3379	3641	3552	3664	3882	3951	4256	4383	4247	5042	5029	4970	4789	4865	4675	4784	4620
0 The whole country	Females	93	1306	1398	1474	1507	1590	1664	1753	1799	1858	1972	2059	2067	2122	2152	2175	2332	2428	2503	2593	2692	2939	2849	2951	3161	3214	3451	3539	3442	4133	4137	4073	3916	3999	3848	3966
0 The whole country	Females	94	952	1013	1079	1134	1166	1215	1261	1365	1349	1394	1502	1614	1564	1646	1651	1701	1809	1816	1909	2022	2111	2315	2238	2325	2495	2537	2720	2770	2731	3338	3296	3264	3118	3220	3106
0 The whole country	Females	95	624	730	767	810	850	844	917	994	988	986	1024	1124	1185	1165	1210	1256	1269	1344	1364	1465	1548	1586	1776	1751	1790	1929	1962	2074	2095	2139	2601	2576	2493	2388	2542
0 The whole country	Females	96	438	461	543	542	588	618	616	673	681	709	721	749	814	862	828	869	926	897	1003	1028	1065	1139	1167	1304	1292	1316	1440	1434	1549	1592	1616	1930	1927	1860	1813
0 The whole country	Females	97	293	327	338	368	374	403	446	439	480	501	495	501	529	603	584	574	603	642	624	722	772	741	820	863	932	929	956	1012	1035	1140	1141	1180	1413	1400	1328
0 The whole country	Females	98	186	206	230	229	255	270	278	314	292	324	339	325	350	364	383	404	395	413	432	438	479	528	491	566	614	649	666	663	701	710	787	816	824	1002	980
0 The whole country	Females	99	117	136	136	154	148	182	188	173	222	203	221	237	219	236	238	253	261	269	270	294	311	324	359	340	381	436	468	429	464	482	489	529	572	556	688
0 The whole country	Females	100	74	74	92	86	96	104	122	121	126	142	136	143	155	146	147	152	161	166	182	184	181	205	205	227	213	228	287	301	282	306	329	327	360	365	358
0 The whole country	Females	101	49	56	54	60	59	68	64	79	74	77	86	66	79	85	87	81	89	97	95	118	113	130	117	131	146	131	140	172	197	180	195	203	197	250	227
0 The whole country	Females	102	31	35	38	27	38	33	40	44	46	46	53	62	41	48	44	48	44	56	66	61	78	74	89	74	78	94	83	79	99	122	117	112	133	110	166
0 The whole country	Females	103	16	19	25	25	11	21	18	26	26	32	30	35	37	23	33	27	28	24	27	47	35	39	43	52	40	46	54	42	47	58	77	66	76	82	73
0 The whole country	Females	104	6	10	12	13	15	6	9	12	18	16	16	12	21	24	11	21	19	14	12	14	22	24	23	24	29	25	24	35	30	28	33	43	37	41	51
0 The whole country	Females	105	8	9	11	12	7	14	15	13	13	16	15	22	18	20	29	24	22	21	20	14	18	23	33	28	27	27	29	27	29	35	37	44	50	52	54
#	region:																																				
#	<a href='https://www.ssb.no/offentlig-sektor/kommunekatalog/endringer-i-de-regionale-inndelingene' target='footnote'><b>See list over changes in regional classifications (in Norwegian)</b></a>.																																				
#	Latest update:																																				
#	Persons:																																				
#	20200227 08:00																																				
#	Source:																																				
#	Statistics Norway																																				
#	Contact:																																				
#	Persons:																																				
#	"Tove Bergseteren, Statistics Norway"																																				
#	 +47 408 11 336																																				
#	tov@ssb.no																																				
#	"Magnus Haug, Statistics Norway"																																				
#	 +47 40811491																																				
#	mgh@ssb.no																																				
#	Copyright																																				
#	Units:																																				
#	Persons:																																				
#	persons																																				
#	Data type:																																				
#	Persons:																																				
#	Stock																																				
#	Reference period:																																				
#	Persons																																				
#	1.1.																																				
#	Database:																																				
#	External PROD																																				
#	Internal reference code:																																				
#	Personer1																																				
