#	"Prevalence ucorrected, 3 Prescriptions, MALES"																																																																																
#	Year	Frequency	Percent	Valid Percent	Cumulative Percent																																																																												
#	2004	3606	"5,2"	"5,2"	"5,2"																																																																												
#	2005	4116	"5,9"	"5,9"	"11,1"																																																																												
#	2006	4255	"6,1"	"6,1"	"17,2"																																																																												
#	2007	4486	"6,5"	"6,5"	"23,7"																																																																												
#	2008	4592	"6,6"	"6,6"	"30,3"																																																																												
#	2009	4755	"6,8"	"6,8"	"37,2"																																																																												
#	2010	5001	"7,2"	"7,2"	"44,4"																																																																												
#	2011	5130	"7,4"	"7,4"	"51,7"																																																																												
#	2012	5262	"7,6"	"7,6"	"59,3"																																																																												
#	2013	5367	"7,7"	"7,7"	"67,0"																																																																												
#	2014	5648	"8,1"	"8,1"	"75,2"																																																																												
#	2015	5824	"8,4"	"8,4"	"83,6"																																																																												
#	2016	5986	"8,6"	"8,6"	"92,2"																																																																												
#	2017	5430	"7,8"	"7,8"	"100,0"																																																																												
#	Total	69458	"100,0"	"100,0"																																																																													
#																																																																																	
#	"Prevalence ucorrected, 3 Prescriptions, FEMALES"																																																																																
#																																																																																	
#																																																																																	
#		Frequency	Percent	Valid Percent	Cumulative Percent																																																																												
#	2004	3208	"5,8"	"5,8"	"5,8"																																																																												
#	2005	3641	"6,6"	"6,6"	"12,4"																																																																												
#	2006	3794	"6,9"	"6,9"	"19,3"																																																																												
#	2007	3893	"7,1"	"7,1"	"26,3"																																																																												
#	2008	3934	"7,1"	"7,1"	"33,5"																																																																												
#	2009	3934	"7,1"	"7,1"	"40,6"																																																																												
#	2010	3968	"7,2"	"7,2"	"47,8"																																																																												
#	2011	3949	"7,2"	"7,2"	"54,9"																																																																												
#	2012	4023	"7,3"	"7,3"	"62,2"																																																																												
#	2013	4120	"7,5"	"7,5"	"69,7"																																																																												
#	2014	4242	"7,7"	"7,7"	"77,4"																																																																												
#	2015	4304	"7,8"	"7,8"	"85,2"																																																																												
#	2016	4327	"7,8"	"7,8"	"93,0"																																																																												
#	2017	3857	"7,0"	"7,0"	"100,0"																																																																												
#	Total	55194	"100,0"	"100,0"																																																																													
#																																																																																	
Year	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	Measure	Sex
2004	0	1	0	0	2	2	0	1	1	0	4	4	3	5	2	5	7	10	6	7	17	20	15	21	23	24	22	33	45	44	57	69	51	63	64	63	77	85	83	92	103	99	95	121	143	124	133	162	169	145	151	144	133	138	130	134	93	96	64	61	44	25	24	13	13	8	6	3	2	2	0	0	0	0	0	0	0	0	0	Prevalence	M
2005	0	0	1	0	1	3	3	2	3	1	0	4	3	6	6	3	13	6	12	9	13	23	20	19	27	30	33	28	38	54	46	69	85	63	74	71	73	88	103	98	110	118	114	109	130	167	136	157	183	194	157	169	153	150	151	148	154	103	108	71	59	47	27	24	12	11	10	7	2	2	2	0	0	0	0	0	0	0	0	Prevalence	M
2006	0	0	1	2	0	1	4	3	1	4	3	1	5	5	5	8	8	13	12	11	15	15	23	24	20	34	33	40	37	47	59	56	71	103	78	90	88	95	104	121	107	123	127	128	121	138	171	144	160	186	203	173	169	150	147	131	134	124	85	98	50	45	33	23	20	5	10	5	3	1	1	0	0	0	0	0	0	0	0	Prevalence	M
2007	0	0	0	2	5	0	2	3	4	3	5	6	1	4	4	5	7	8	13	13	18	21	19	32	26	24	34	40	46	45	52	68	62	86	113	93	106	95	110	126	129	132	137	140	136	138	153	173	156	183	194	207	176	168	149	146	122	125	106	70	81	40	46	30	14	16	6	6	2	2	0	1	1	0	0	0	0	0	0	Prevalence	M
2008	0	0	0	0	1	2	2	4	3	3	2	6	8	1	5	10	4	6	8	19	18	21	21	19	33	29	29	42	43	52	49	62	78	77	96	130	108	117	111	121	131	141	139	150	152	141	139	166	186	163	181	194	194	165	163	141	139	109	118	92	54	69	39	29	26	11	7	3	6	0	2	0	1	1	0	0	0	0	0	Prevalence	M
2009	0	0	0	0	0	2	1	2	7	5	3	3	9	8	2	9	11	5	8	10	20	17	20	27	25	37	37	41	49	53	61	64	70	94	97	104	148	123	131	120	133	158	154	155	161	168	146	136	167	190	161	187	192	186	159	164	135	127	91	102	79	49	51	31	19	15	8	3	0	1	1	2	0	0	1	0	0	0	0	Prevalence	M
2010	0	0	0	0	0	0	1	1	3	5	8	3	2	10	8	3	11	13	8	9	16	25	18	25	26	27	41	46	50	53	64	69	73	78	107	112	110	175	138	155	143	157	177	171	172	179	183	155	158	180	204	164	185	201	187	157	136	128	107	81	91	61	35	41	20	13	14	3	1	0	1	1	2	0	0	0	0	0	0	Prevalence	M
2011	0	0	0	0	0	0	0	0	1	2	6	7	6	5	10	12	6	10	13	9	12	23	26	20	25	29	28	48	60	54	61	75	81	87	88	113	123	125	193	159	179	162	179	190	177	187	191	187	172	163	184	195	178	183	176	173	144	114	108	90	68	68	53	28	29	13	11	9	2	0	0	0	0	0	0	0	0	0	0	Prevalence	M
2012	0	0	0	0	0	0	0	0	1	1	2	7	6	7	4	10	18	8	12	16	11	14	24	30	22	31	32	34	53	64	57	67	91	99	90	101	127	134	140	217	167	193	181	207	202	190	210	197	187	177	173	199	198	167	167	159	152	122	102	82	83	50	54	44	20	23	11	8	6	1	0	0	0	0	0	0	0	0	0	Prevalence	M
